dateTime,windAngle,WAReference,windSpeed,WSUnits,status,checkSum
2020-08-12 00:13:56.607853,284.8,R,1.5,N,A,21
2020-08-12 00:14:00.140292,287.1,R,1.2,N,A,2C
2020-08-12 00:14:03.141591,282.2,R,1.4,N,A,2C
2020-08-12 00:14:06.609144,290.6,R,1.4,N,A,2B
2020-08-12 00:14:10.141467,287.8,R,1.1,N,A,26
2020-08-12 00:14:13.608534,285.1,R,1.5,N,A,29
2020-08-12 00:14:17.142233,276.9,R,2.1,N,A,2A
2020-08-12 00:14:20.610368,264.0,R,1.9,N,A,2B
2020-08-12 00:14:24.142208,265.9,R,2.8,N,A,21
2020-08-12 00:14:27.610378,283.2,R,1.7,N,A,2E
2020-08-12 00:14:31.142467,277.6,R,2.3,N,A,26
2020-08-12 00:14:34.610358,292.6,R,1.3,N,A,2E
2020-08-12 00:14:38.142803,290.5,R,1.3,N,A,2F
2020-08-12 00:14:41.611016,282.4,R,1.4,N,A,2A
2020-08-12 00:14:45.144060,286.3,R,1.2,N,A,2F
2020-08-12 00:14:48.611013,284.9,R,1.3,N,A,26
2020-08-12 00:14:52.144676,284.1,R,1.4,N,A,29
2020-08-12 00:14:55.612840,288.0,R,1.4,N,A,24
2020-08-12 00:14:59.144022,289.7,R,1.5,N,A,23
2020-08-12 00:15:02.612357,292.5,R,2.0,N,A,2D
2020-08-12 00:15:06.144662,289.5,R,2.3,N,A,24
2020-08-12 00:15:09.612826,294.8,R,2.0,N,A,26
2020-08-12 00:15:13.145905,281.2,R,1.7,N,A,2C
2020-08-12 00:15:16.612810,283.6,R,1.5,N,A,28
2020-08-12 00:15:20.145256,282.2,R,1.8,N,A,20
2020-08-12 00:15:23.613584,286.8,R,2.2,N,A,27
2020-08-12 00:15:27.145889,283.8,R,1.8,N,A,2B
2020-08-12 00:15:30.614186,285.3,R,2.0,N,A,2D
2020-08-12 00:15:34.146488,286.4,R,1.3,N,A,29
2020-08-12 00:15:37.614799,284.0,R,1.5,N,A,29
2020-08-12 00:15:41.147143,292.2,R,1.2,N,A,2B
2020-08-12 00:15:44.615406,271.3,R,1.3,N,A,26
2020-08-12 00:15:48.147721,263.0,R,1.4,N,A,21
2020-08-12 00:15:51.616047,271.3,R,1.5,N,A,20
2020-08-12 00:15:55.148348,283.7,R,1.4,N,A,28
2020-08-12 00:15:58.615388,262.2,R,2.1,N,A,24
2020-08-12 00:16:02.148957,281.2,R,1.3,N,A,28
2020-08-12 00:16:05.616018,260.1,R,1.8,N,A,2F
2020-08-12 00:16:09.148479,281.9,R,1.4,N,A,24
2020-08-12 00:16:12.616623,278.8,R,1.7,N,A,20
2020-08-12 00:16:16.148937,285.0,R,1.4,N,A,29
2020-08-12 00:16:19.617264,278.2,R,1.5,N,A,28
2020-08-12 00:16:23.149703,277.9,R,1.5,N,A,2C
2020-08-12 00:16:26.617862,293.0,R,1.9,N,A,23
2020-08-12 00:16:30.150287,289.0,R,1.9,N,A,28
2020-08-12 00:16:33.622261,290.8,R,1.8,N,A,29
2020-08-12 00:16:37.158439,288.2,R,1.1,N,A,23
2020-08-12 00:16:40.622861,282.2,R,1.4,N,A,2C
2020-08-12 00:16:44.156541,292.8,R,1.3,N,A,20
2020-08-12 00:16:47.614846,282.2,R,1.6,N,A,2E
2020-08-12 00:16:50.616647,271.3,R,2.3,N,A,25
2020-08-12 00:16:54.150202,288.5,R,1.6,N,A,23
2020-08-12 00:16:57.155884,289.8,R,1.3,N,A,2A
2020-08-12 00:17:00.620422,285.1,R,1.2,N,A,2E
2020-08-12 00:17:04.152728,284.5,R,1.3,N,A,2A
2020-08-12 00:17:07.619805,282.8,R,1.4,N,A,26
2020-08-12 00:17:11.153391,289.4,R,2.0,N,A,26
2020-08-12 00:17:14.620417,293.0,R,1.7,N,A,2D
2020-08-12 00:17:18.153985,292.3,R,1.3,N,A,2B
2020-08-12 00:17:21.621065,292.9,R,1.3,N,A,21
2020-08-12 00:17:25.154623,284.8,R,1.3,N,A,27
2020-08-12 00:17:28.621659,290.7,R,1.2,N,A,2C
2020-08-12 00:17:32.153953,271.3,R,1.2,N,A,27
2020-08-12 00:17:35.622292,292.4,R,1.3,N,A,2C
2020-08-12 00:17:39.154612,290.5,R,1.3,N,A,2F
2020-08-12 00:17:42.622888,293.8,R,1.4,N,A,26
2020-08-12 00:17:46.155198,300.7,R,1.2,N,A,24
2020-08-12 00:17:49.159653,135.0,R,0.8,N,A,2C
2020-08-12 00:17:52.622920,258.5,R,1.4,N,A,2C
2020-08-12 00:17:56.156498,301.2,R,1.3,N,A,21
2020-08-12 00:17:59.623565,228.1,R,1.1,N,A,2A
2020-08-12 00:18:03.155891,297.1,R,1.8,N,A,27
2020-08-12 00:18:06.624159,263.8,R,1.3,N,A,2E
2020-08-12 00:18:10.156472,294.9,R,1.5,N,A,21
2020-08-12 00:18:13.624808,288.0,R,1.6,N,A,26
2020-08-12 00:18:17.157253,290.9,R,1.7,N,A,27
2020-08-12 00:18:20.625395,289.5,R,2.0,N,A,27
2020-08-12 00:18:24.157705,287.3,R,2.4,N,A,2B
2020-08-12 00:18:27.626041,287.3,R,1.7,N,A,2B
2020-08-12 00:18:31.158481,286.6,R,1.4,N,A,2C
2020-08-12 00:18:34.625388,307.7,R,1.7,N,A,26
2020-08-12 00:18:38.158950,297.6,R,1.3,N,A,2B
2020-08-12 00:18:41.626010,288.0,R,1.6,N,A,26
2020-08-12 00:18:45.159716,289.0,R,1.8,N,A,29
2020-08-12 00:18:48.626600,287.2,R,1.5,N,A,28
2020-08-12 00:18:52.158942,294.1,R,1.4,N,A,28
2020-08-12 00:18:55.627257,288.8,R,1.3,N,A,2B
2020-08-12 00:18:59.159678,281.6,R,1.9,N,A,26
2020-08-12 00:19:02.627865,290.8,R,1.4,N,A,25
2020-08-12 00:19:06.160295,288.5,R,1.5,N,A,20
2020-08-12 00:19:09.628629,288.7,R,1.3,N,A,24
2020-08-12 00:19:13.160944,295.2,R,1.8,N,A,26
2020-08-12 00:19:16.629085,288.5,R,1.5,N,A,20
2020-08-12 00:19:20.161525,284.0,R,1.3,N,A,2F
2020-08-12 00:19:23.628603,284.9,R,1.4,N,A,21
2020-08-12 00:19:27.160912,292.1,R,1.6,N,A,2C
2020-08-12 00:19:30.629200,281.0,R,2.4,N,A,2E
2020-08-12 00:19:34.161497,291.0,R,2.7,N,A,2C
2020-08-12 00:19:37.631094,289.5,R,2.5,N,A,22
2020-08-12 00:19:41.162161,289.0,R,1.9,N,A,28
2020-08-12 00:19:44.630431,289.5,R,1.4,N,A,20
2020-08-12 00:19:48.162730,293.8,R,1.3,N,A,21
2020-08-12 00:19:51.631074,291.4,R,1.4,N,A,28
2020-08-12 00:19:55.163390,292.6,R,1.2,N,A,2F
2020-08-12 00:19:58.631665,292.1,R,1.3,N,A,29
2020-08-12 00:20:02.163977,286.3,R,1.5,N,A,28
2020-08-12 00:20:05.632368,288.3,R,1.2,N,A,21
2020-08-12 00:20:09.165909,288.3,R,1.7,N,A,24
2020-08-12 00:20:12.631676,291.9,R,1.3,N,A,22
2020-08-12 00:20:16.165238,290.6,R,1.4,N,A,2B
2020-08-12 00:20:19.632341,280.3,R,1.3,N,A,28
2020-08-12 00:20:23.164779,286.1,R,1.2,N,A,2D
2020-08-12 00:20:26.632934,283.5,R,1.4,N,A,2A
2020-08-12 00:20:30.165333,283.7,R,1.4,N,A,28
2020-08-12 00:20:33.633580,285.5,R,1.3,N,A,2B
2020-08-12 00:20:37.166013,283.7,R,1.6,N,A,2A
2020-08-12 00:20:40.634142,281.7,R,1.8,N,A,26
2020-08-12 00:20:44.166477,281.2,R,1.7,N,A,2C
2020-08-12 00:20:47.633514,283.9,R,1.8,N,A,2A
2020-08-12 00:20:51.167233,287.1,R,2.2,N,A,2F
2020-08-12 00:20:54.635379,289.7,R,1.8,N,A,2E
2020-08-12 00:20:58.167796,284.0,R,1.6,N,A,2A
2020-08-12 00:21:01.634769,271.3,R,1.4,N,A,21
2020-08-12 00:21:05.168443,264.3,R,1.7,N,A,26
2020-08-12 00:21:08.635353,284.6,R,1.3,N,A,29
2020-08-12 00:21:12.167768,289.8,R,1.2,N,A,2B
2020-08-12 00:21:15.636105,283.7,R,1.4,N,A,28
2020-08-12 00:21:19.168419,271.3,R,1.6,N,A,23
2020-08-12 00:21:22.636571,283.2,R,1.4,N,A,2D
2020-08-12 00:21:26.169028,292.4,R,1.2,N,A,2D
2020-08-12 00:21:29.637347,286.2,R,1.5,N,A,29
2020-08-12 00:21:33.169707,288.2,R,1.2,N,A,20
2020-08-12 00:21:36.637847,293.4,R,1.3,N,A,2D
2020-08-12 00:21:40.170272,296.6,R,1.4,N,A,2D
2020-08-12 00:21:43.637347,300.6,R,1.3,N,A,24
2020-08-12 00:21:47.170955,319.2,R,0.8,N,A,22
2020-08-12 00:21:50.637945,271.3,R,1.0,N,A,25
2020-08-12 00:21:54.170260,293.3,R,1.4,N,A,2D
2020-08-12 00:21:57.638598,295.7,R,1.3,N,A,28
2020-08-12 00:22:01.170938,292.0,R,1.5,N,A,2E
